Depth,Training Accuracy,Validation Accuracy
2,0.29507558748690316,0.22018678160919541
4,0.40709474629546477,0.31297892720306514
8,0.5927256398742703,0.35225095785440613
10,0.7030684029336925,0.3583572796934866
15,0.9235144439455172,0.33153735632183906
30,1.0,0.33465038314176243
