Fold Number,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
0,0.8915,0.889,0.1085,0.111
1,0.8895,0.891,0.1105,0.109
2,0.88975,0.894,0.11025,0.106
3,0.88975,0.893,0.11025,0.107
4,0.89225,0.887,0.10775,0.113
