Fold Number,Train Error,Validation Error,Sklearn Train Error,Sklearn Validation Error
0,3.8382412497410083,10.088946266779553,3.8382412497410083,10.088946266779553
1,5.406303714549687,3.1521805786831023,5.406303714549687,3.1521805786831023
2,4.711081942571674,5.9629761841117945,4.711081942571674,5.9629761841117945
3,5.191065445123249,3.8434382309444324,5.191065445123249,3.8434382309444324
4,5.115016338415645,4.134503154592122,5.115016338415645,4.134503154592122
